reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
32,64,69,0,0,0,l,5.650049208896235,None,0,0,0,54,0.10339687508530915,,0.09547941596247256,0.10339687508530915,1.0001846251543611,1.0001846251543611,1.0936326659284532,6.944921707967296,l,5.650049208896235,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
60,89,25,1,1,0,l,2.098392000189051,None,0,1,1,76,6.969196290941909,,6.95010554115288,6.969196290941909,7.9378141250927,7.9378141250927,7.961750375106931,10.039839833043516,l,2.098392000189051,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
24,47,31,2,2,0,l,4.571824374841526,None,0,2,2,42,10.058197790989652,,10.049267665948719,10.058197790989652,11.037448165938258,11.037448165938258,11.054974040947855,15.613584415987134,l,4.571824374841526,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
67,91,39,3,3,0,t,2.455688375979662,None,0,3,3,33,15.629474750021473,,15.620770249981433,15.629474750021473,16.61265308293514,16.61265308293514,16.62135991593823,19.073357583023608,t,2.455688375979662,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
40,55,62,4,4,0,t,1.3523268341086805,None,0,4,4,3,19.08941095811315,,19.080022083129734,19.08941095811315,20.070979499956593,20.070979499956593,20.088624583091587,21.430683666141704,t,1.3523268341086805,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
78,80,162,5,5,0,t,0.7072573329787701,None,0,5,5,6,21.445784457959235,,21.437229083152488,21.445784457959235,22.431184875080362,22.431184875080362,22.438423082930967,23.14043654105626,t,0.7072573329787701,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
42,73,1,6,6,0,l,0.6566077920142561,None,0,6,6,51,23.15634762495756,,23.147070083068684,23.15634762495756,24.13881945796311,24.13881945796311,24.145182915963233,24.807400125078857,l,0.6566077920142561,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
38,74,66,7,7,0,t,0.566412708023563,None,0,7,7,80,24.82418983313255,,24.814894125098363,24.82418983313255,25.80508366599679,25.80508366599679,25.82238733302802,26.37365216598846,t,0.566412708023563,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
53,78,67,8,8,0,t,0.9666456668637693,None,0,8,8,25,26.39029641612433,,26.38020983315073,26.39029641612433,27.371839290950447,27.371839290950447,27.38892029109411,28.340668790973723,t,0.9666456668637693,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
31,63,33,9,9,0,l,3.187587874941528,None,0,9,9,66,28.357353791128844,,28.347282125148922,28.357353791128844,29.338060666108504,29.338060666108504,29.355843041092157,32.530572625109926,l,3.187587874941528,None,003,001,2025-10-30_14h47.03.319,Delay discounting ,,2025.1.1,120.6112580169292,2025-10-30 14h47.18.211799 +0530,
