delay,freq,condtion,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,space,0.4644596250000177,None,300,1,[6.19865291699989],[6.198662666999553],0,0,0,6,0.040239582999674894,,0.03161787499993807,0.040239582999674894,0.9976643749996583,0.9976643749996583,1.0293490000003658,1.716290041999855,space,0.4644596250000177,None,1.7168760419999671,2.4229918336670986,2.8962851249998494,2.7114901670001927,2.714340667000215,2.8962851249998494,2.8962851249998494,2.8962851249998494,9.09530604199972,300,1,[6.19865291699989],[6.198662666999553],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,400,unexp,1,1,0,space,2.4164364580001347,None,350,1,[5.925299249999625],[5.925304708999647],0,1,1,3,9.100627208000333,,9.095577082999625,9.100627208000333,10.089848374999747,10.089848374999747,10.095988082999611,12.508263957999588,space,2.4164364580001347,None,12.510313916999621,13.21262474966649,13.51792504199966,13.501211124999827,13.502862833000108,13.51792504199966,13.51792504199966,13.51792504199966,19.44352620799964,350,1,[5.925299249999625],[5.925304708999647],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,2,2,0,space,2.6027828749993205,None,411,1,[8.914432790999854],[8.91443820800032],0,2,2,4,19.448858124999788,,19.443755792000047,19.448858124999788,20.44030891700004,20.44030891700004,20.446538166999744,23.04757866700038,space,2.6027828749993205,None,23.048805833000188,23.156871458666743,23.463998166999772,23.44566691700038,23.447599000000082,23.463998166999772,23.463998166999772,23.463998166999772,32.3787585,411,1,[8.914432790999854],[8.91443820800032],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,400,unexp,3,3,0,space,0.1892352499999106,None,97,1,[7.6640069590002895],[7.664012291999825],0,3,3,2,32.39031675000024,,32.37897591700039,32.39031675000024,33.37400808300026,33.37400808300026,33.380783542000245,33.56521049999992,space,0.1892352499999106,None,33.56667620799999,33.97426570866652,34.27975087499999,34.262650708000365,34.26441916699969,34.27975087499999,34.27975087499999,34.27975087499999,41.94405983300021,97,1,[7.6640069590002895],[7.664012291999825],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,4,4,0,space,0.11611474999972415,None,145,1,[6.441534208000121],[6.4415396249996775],0,4,4,5,41.94926370800022,,41.944278750000194,41.94926370800022,42.94135795800048,42.94135795800048,42.94770262499969,43.05955683299999,space,0.11611474999972415,None,43.06138091699995,43.46360558366656,43.76919170800011,43.75226895800006,43.75398587499967,43.76919170800011,43.76919170800011,43.76919170800011,50.211027000000286,145,1,[6.441534208000121],[6.4415396249996775],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,1000,exp,5,5,0,space,0.2695630419993904,None,278,1,[9.410631415999887],[9.410636624999825],0,5,5,15,50.21612925000045,,50.21123741700012,50.21612925000045,51.20800054200026,51.20800054200026,51.214158249999855,51.48268504200041,space,0.2695630419993904,None,51.4840711249999,52.191708374666874,52.497894707999876,52.48001304199988,52.48149720800029,52.497894707999876,52.497894707999876,52.497894707999876,61.908832000000075,278,1,[9.410631415999887],[9.410636624999825],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,400,unexp,6,6,0,space,0.23868804199992155,None,120,1,[11.392792624999856],[11.392798167000365],0,6,6,0,61.913734042000215,,61.90906958300002,61.913734042000215,62.899282958000185,62.899282958000185,62.90829374999976,63.14369995800007,space,0.23868804199992155,None,63.145637292000174,63.2469417916666,63.552329457999804,63.53601466700002,63.53739312499965,63.552329457999804,63.552329457999804,63.552329457999804,74.94542737499978,120,1,[11.392792624999856],[11.392798167000365],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,7,7,0,space,0.21612520799953927,None,51,1,[12.660045125000579],[12.660050875000707],0,7,7,13,74.95072520800022,,74.94564120799987,74.95072520800022,75.94223454199982,75.94223454199982,75.94842962500024,76.16083091699966,space,0.21612520799953927,None,76.16229112499968,76.26357829166706,76.57063191700036,76.55366729199977,76.55536520799978,76.57063191700036,76.57063191700036,76.57063191700036,89.23097679199964,51,1,[12.660045125000579],[12.660050875000707],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,1000,exp,8,8,0,space,86.08985658300026,None,330,1,[5.836501416999454],[5.836506624999856],0,8,8,12,89.2424249579999,,89.231200833,89.2424249579999,90.22586395800045,90.22586395800045,90.23206883300008,176.3210578750004,space,86.08985658300026,None,176.32225850000032,177.029198999667,177.33560254199983,177.3178004170004,177.3193619169997,177.33560254199983,177.33560254199983,177.33560254199983,183.17239524999968,330,1,[5.836501416999454],[5.836506624999856],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,9,9,0,space,30.033632542000305,None,110,1,[4.796936750000896],[4.796942125000896],0,9,9,10,183.17851916699965,,183.17261899999994,183.17851916699965,184.1686118329999,184.1686118329999,184.1686118329999,214.20403845800047,space,30.033632542000305,None,214.20546583299983,214.30590824966683,214.62004391699975,214.60245750000013,214.60426366699994,214.62004391699975,214.62004391699975,214.62004391699975,219.41728316700028,110,1,[4.796936750000896],[4.796942125000896],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,10,10,0,space,3.294350625000334,None,452,1,[10.392373207999299],[10.392379332999553],0,10,10,11,219.42260150000038,,219.41750841700014,219.42260150000038,220.41374408299998,220.41374408299998,220.42049829200005,223.7156209169998,space,3.294350625000334,None,223.7173295829998,224.12045591666654,224.42607729199972,224.40865233299974,224.41035091699996,224.42607729199972,224.42607729199972,224.42607729199972,234.81875195799967,452,1,[10.392373207999299],[10.392379332999553],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,400,unexp,11,11,0,space,31.77192054199986,None,78,1,[9.800317000000177],[9.800322541000241],0,11,11,1,234.83062087500002,,234.8189637080004,234.83062087500002,235.8144147920002,235.8144147920002,235.82123087499986,267.5905197920001,space,31.77192054199986,None,267.59260516700033,267.99887137466635,268.3041500830004,268.28718149999986,268.28903770800025,268.3041500830004,268.3041500830004,268.3041500830004,278.1047726249999,78,1,[9.800317000000177],[9.800322541000241],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,12,12,0,space,21.62796433299991,None,217,1,[20.432604958999946],[20.432609833999777],0,12,12,8,278.11570095800016,,278.104994583,278.11570095800016,279.0990200420001,279.0990200420001,279.10624912500043,300.7348431250002,space,21.62796433299991,None,300.736334792,301.13993095866704,301.44495350000034,301.4274771669998,301.42901354199967,301.44495350000034,301.44495350000034,301.44495350000034,321.87785345799966,217,1,[20.432604958999946],[20.432609833999777],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,13,13,0,space,20.590972500000134,None,337,1,[7.7512007919995085],[7.751205917000334],0,13,13,7,321.8830187499998,,321.8780648330003,321.8830187499998,322.87396270800036,322.87396270800036,322.87396270800036,343.4693328330004,space,20.590972500000134,None,343.4706428749996,343.5732462916669,343.8781662499996,343.8621455419998,343.8633787079998,343.8781662499996,343.8781662499996,343.8781662499996,351.62966691699967,337,1,[7.7512007919995085],[7.751205917000334],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,14,14,0,space,183.09940916600044,None,489,1,[166.38285695800005],[166.3828625419992],0,14,14,14,351.6355117920002,,351.62987904199963,351.6355117920002,352.6245012500003,352.6245012500003,352.6245012500003,535.7260669579991,space,183.09940916600044,None,535.7276908330005,536.1302601246664,536.4352616670003,536.4185003750008,536.4201945000004,536.4352616670003,536.4352616670003,536.4352616670003,702.818421,489,1,[166.38285695800005],[166.3828625419992],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,1000,exp,15,15,0,space,42.73005275000105,None,602,1,[7.059267707998515],[7.059273249999023],0,15,15,9,702.8289668329999,,702.8186344580008,702.8289668329999,703.8124399999997,703.8124399999997,703.8186123750002,746.5491985829995,space,42.73005275000105,None,746.5506176250001,747.2531957086669,747.5579335830007,747.5415937500002,747.5430484579992,747.5579335830007,747.5579335830007,747.5579335830007,754.6175072919996,602,1,[7.059267707998515],[7.059273249999023],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,16,0,1,space,0.2639145840003039,None,582,1,[3.707275541999479],[3.7072809170003893],1,0,16,5,754.6232881249998,,754.6177299999999,754.6232881249998,755.6139694169997,755.6139694169997,755.6207865420001,755.882573500001,space,0.2639145840003039,None,755.8845178749998,756.2865934996664,756.5910000830008,756.5749972499998,756.5764979579999,756.5910000830008,756.5910000830008,756.5910000830008,760.2985769580009,582,1,[3.707275541999479],[3.7072809170003893],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,1000,exp,17,1,1,space,0.7088672080008109,None,314 ,1,[2.347940457999357],[2.347945916999379],1,1,17,9,760.314099792,,760.2987966670007,760.314099792,761.2978588330006,761.2978588330006,761.3057249169997,762.0160196670004,space,0.7088672080008109,None,762.0175500419991,762.7205044586665,763.0252282919992,763.0086724579996,763.0104169170008,763.0252282919992,763.0252282919992,763.0252282919992,765.3735035000009,314 ,1,[2.347940457999357],[2.347945916999379],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,400,unexp,18,2,1,space,0.4742495410009724,None,444,1,[5.363839499999813],[5.363844917001188],1,2,18,0,765.3802754579992,,765.3737154169994,765.3802754579992,766.3708187499997,766.3708187499997,766.3708187499997,766.8494635419993,space,0.4742495410009724,None,766.8509464580002,766.9565627916675,767.2702099170001,767.2528188750002,767.2544177079999,767.2702099170001,767.2702099170001,767.2702099170001,772.6343528329999,444,1,[5.363839499999813],[5.363844917001188],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,19,3,1,space,0.7792600000011589,None,771,1,[3.3549782919999416],[3.3549850420004077],1,3,19,10,772.6400887079999,,772.6345592920006,772.6400887079999,773.6312798750005,773.6312798750005,773.6379596250008,774.4167686250003,space,0.7792600000011589,None,774.4182774580004,774.519825708667,774.8273573330007,774.8098903329992,774.8113297079999,774.8273573330007,774.8273573330007,774.8273573330007,778.1826715829993,771,1,[3.3549782919999416],[3.3549850420004077],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,20,4,1,space,0.1758472500005155,None,215,1,[2.754342166999777],[2.7543475839993334],1,4,20,14,778.1886381669992,,778.1828838330002,778.1886381669992,779.1817152919994,779.1817152919994,779.1817152919994,779.3666067499998,space,0.1758472500005155,None,779.3682210419993,779.7706797916674,780.0777332079997,780.0597629170006,780.0614872919996,780.0777332079997,780.0777332079997,780.0777332079997,782.8323798750007,215,1,[2.754342166999777],[2.7543475839993334],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,400,unexp,21,5,1,space,0.19812383299904468,None,135,1,[10.377962083999591],[10.377967292000903],1,5,21,1,782.8478599579994,,782.8326021249995,782.8478599579994,783.8224277080008,783.8224277080008,783.8375920830003,784.0223123750002,space,0.19812383299904468,None,784.0235552079994,784.4316786666661,784.7380467919993,784.7201516669993,784.7216196249992,784.7380467919993,784.7380467919993,784.7380467919993,795.1163131249996,135,1,[10.377962083999591],[10.377967292000903],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,400,unexp,22,6,1,space,0.2654575000015029,None,180,1,[3.9544004580002365],[3.9544056250015274],1,6,22,2,795.1321234580009,,795.1165234170003,795.1321234580009,796.1067613750001,796.1067613750001,796.1204135829994,796.373910708,space,0.2654575000015029,None,796.3755919169998,796.7820559996674,797.0873955419993,797.0705107079993,797.0723689999995,797.0873955419993,797.0873955419993,797.0873955419993,801.0420925830003,180,1,[3.9544004580002365],[3.9544056250015274],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,23,7,1,space,0.5223783330002334,None,435,1,[5.2409671250006795],[5.240972416999284],1,7,23,8,801.0479571670003,,801.0423016250006,801.0479571670003,802.0379720420005,802.0379720420005,802.0379720420005,802.5668815419995,space,0.5223783330002334,None,802.5682821669998,802.9716135416659,803.2773391669998,803.2603614580003,803.2618473750008,803.2773391669998,803.2773391669998,803.2773391669998,808.5186122499999,435,1,[5.2409671250006795],[5.240972416999284],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,1000,exp,24,8,1,space,0.45660483299980115,None,907,1,[4.450886250000622],[4.45089091599948],1,8,24,6,808.524082375001,,808.5188158750007,808.524082375001,809.5157298329996,809.5157298329996,809.5225003329997,809.9841219579994,space,0.45660483299980115,None,809.9858277080002,810.6881247916665,810.9920194580009,810.9765067080007,810.9779139170005,810.9920194580009,810.9920194580009,810.9920194580009,815.4432039170006,907,1,[4.450886250000622],[4.45089091599948],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,25,9,1,space,0.3543181660006667,None,664,1,[3.0763469160010573],[3.0763521660010156],1,9,25,13,815.4483884580004,,815.443414542,815.4483884580004,816.439097167,816.439097167,816.439097167,816.8016542919995,space,0.3543181660006667,None,816.8034680000001,816.9046608746669,817.2116612919999,817.194174708,817.1956568330006,817.2116612919999,817.2116612919999,817.2116612919999,820.2883176670002,664,1,[3.0763469160010573],[3.0763521660010156],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.7,400,unexp,26,10,1,space,0.30459254199922725,None,118,1,[3.929520458999832],[3.9295256249988597],1,10,26,3,820.2991352499994,,820.2885270419993,820.2991352499994,821.2829094999997,821.2829094999997,821.2901346250001,821.5915151669997,space,0.30459254199922725,None,821.5932117499997,822.2993434586663,822.6061639580003,822.5881422080001,822.5901262919997,822.6061639580003,822.6061639580003,822.6061639580003,826.5359944579995,118,1,[3.929520458999832],[3.9295256249988597],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.1,1000,exp,27,11,1,space,1.3469987499993294,None,730,1,[5.064239457999065],[5.064244707999023],1,11,27,4,826.5410327919999,,826.5361979999998,826.5410327919999,827.5327840829996,827.5327840829996,827.5390645000007,828.8851106250004,space,1.3469987499993294,None,828.8865624999999,828.9916476246674,829.3058429579996,829.2883433330007,829.2903533749995,829.3058429579996,829.3058429579996,829.3058429579996,834.3703913749996,730,1,[5.064239457999065],[5.064244707999023],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
0.4,1000,exp,28,12,1,space,0.32813762499972654,None,735,1,[4.2483312920012395],[4.248336917000415],1,12,28,11,834.3825082080002,,834.3705987920002,834.3825082080002,835.3664236669993,835.3664236669993,835.3728900419992,835.7013507079992,space,0.32813762499972654,None,835.7029222500005,836.1063639586666,836.4107464999997,836.3940834170007,836.3955371249995,836.4107464999997,836.4107464999997,836.4107464999997,840.6593956249999,735,1,[4.2483312920012395],[4.248336917000415],01,001,2025-11-10_21h20.08.283,Intentional Binding,,2025.1.1,120.40250557617891,2025-11-10 21h20.37.757503 +0530,
