word,category,inkColour,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instrText.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,Welcome.started,text_2.started,Welcome.stopped,ColourNaming.started,fixation.started,fixation.stopped,text.started,key_resp.started,ColourNaming.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.010910083001363091,0.02005950000602752,0.02005950000602752,22.037831333000213,space,21.590103458001977,None,,,,,,,,,,,,,,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,22.037880666001,22.05389541600016,23.03822429101274,,,,,,,,,,,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
Friend,other,blue,b,0,0,0,b,1,0.8536854999983916,None,0,0,0,28,23.094407583004795,,,,,,,,,,,,23.08573525000247,23.094407583004795,23.530714375010575,23.530714375010575,23.530714375010575,24.389982708002208,b,1,0.8536854999983916,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
They,other,yellow,y,1,1,0,y,1,0.8053707079961896,None,0,1,1,17,24.403711208011373,,,,,,,,,,,,24.394085500010988,24.403711208011373,24.887964208013727,24.887964208013727,24.887964208013727,25.695823625006597,y,1,0.8053707079961896,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
Me,self ,blue,b,2,2,0,b,1,0.4823550000000978,None,0,2,2,2,25.711392125012935,,,,,,,,,,,,25.702616708003916,25.711392125012935,26.205065750007634,26.205065750007634,26.205065750007634,26.690030916011892,b,1,0.4823550000000978,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
My,self ,blue,b,3,3,0,b,1,0.3676654580049217,None,0,3,3,10,26.702849625013187,,,,,,,,,,,,26.69428554100159,26.702849625013187,27.187710125013837,27.187710125013837,27.187710125013837,27.562514500008547,b,1,0.3676654580049217,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
Stranger,other,yellow,y,4,4,0,y,1,0.41225974999542814,None,0,4,4,23,27.590487791007035,,,,,,,,,,,,27.56709154100099,27.590487791007035,28.064046666011564,28.064046666011564,28.064046666011564,28.47919795800408,y,1,0.41225974999542814,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
Bottle,neutral,yellow,y,5,5,0,y,1,0.45078512499458157,None,0,5,5,39,28.492828500006,,,,,,,,,,,,28.483747333011706,28.492828500006,28.980662916001165,28.980662916001165,28.980662916001165,29.44007441600843,y,1,0.45078512499458157,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
I,self ,yellow,y,6,6,0,y,1,0.3825667909986805,None,0,6,6,9,29.452525500004413,,,,,,,,,,,,29.443857916005072,29.452525500004413,29.937851624999894,29.937851624999894,29.937851624999894,30.3229477910063,y,1,0.3825667909986805,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
My,self ,yellow,y,7,7,0,y,1,0.3418743749934947,None,0,7,7,11,30.335985708006774,,,,,,,,,,,,30.32716212500236,30.335985708006774,30.821415916012484,30.821415916012484,30.821415916012484,31.173396375001175,y,1,0.3418743749934947,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
Myself,self ,yellow,y,8,8,0,y,1,0.31312012500711717,None,0,8,8,5,31.18657620801241,,,,,,,,,,,,31.177633458006312,31.18657620801241,31.67126112501137,31.67126112501137,31.67126112501137,31.990355666013784,y,1,0.31312012500711717,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
They,other,yellow,y,9,9,1,y,1,0.32221004100574646,None,1,9,9,17,32.00331841601292,,,,,,,,,,,,31.9945539580076,32.00331841601292,32.48815512500005,32.48815512500005,32.48815512500005,32.81304600001022,y,1,0.32221004100574646,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
Bottle,neutral,yellow,y,10,10,1,y,1,0.3468768739985535,None,1,10,10,39,32.826924791006604,,,,,,,,,,,,32.817805708007654,32.826924791006604,33.314545208006166,33.314545208006166,33.314545208006166,33.67343658300524,y,1,0.3468768739985535,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
He,other,yellow,y,11,11,0,y,1,0.3710183330113068,None,0,11,11,19,33.688074458012125,,,,,,,,,,,,33.67936337500578,33.688074458012125,34.17142325000896,34.17142325000896,34.17142325000896,34.54620366600284,y,1,0.3710183330113068,None,,,,01,001,2025-11-13_14h21.14.542,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 14h22.19.039965 +0530,
