thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,down,0,6.197838167019654,None,0,0,0,0,0,0.015903917024843395,,0.008878417022060603,0.015903917024843395,1.0031185830011964,1.009598333039321,7.212126083031762,down,0,6.197838167019654,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
1,0,1,up,0,0.8330835429951549,None,4,1,0,1,0,7.239609333046246,,7.2128237500437535,7.239609333046246,8.21008970803814,8.231638000055682,9.045770833035931,up,0,0.8330835429951549,None,4,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
2,0,2,down,1,1.2894800420035608,None,3,2,0,2,0,9.055531458056066,,9.046491000044625,9.055531458056066,10.043569833040237,10.049676250026096,11.34530204202747,down,1,1.2894800420035608,None,3,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
3,0,3,down,1,0.9446251250337809,None,4,3,0,3,0,11.352962625038344,,11.345788833044935,11.352962625038344,12.34352575003868,12.349488667037804,13.298389417002909,down,1,0.9446251250337809,None,4,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
4,0,4,down,1,0.7394315010169521,None,-2,4,0,4,0,13.31005583301885,,13.298961583001073,13.31005583301885,14.293756750004832,14.29966845799936,15.043539500038605,down,1,0.7394315010169521,None,-2,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
5,0,5,down,1,0.6698667090386152,None,-3,5,0,5,0,15.048663749999832,,15.044062375032809,15.048663749999832,16.034397000039462,16.04358137503732,16.71244850003859,down,1,0.6698667090386152,None,-3,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
6,0,6,up,1,0.748070125002414,None,0,6,0,6,0,16.72224716702476,,16.71298425004352,16.72224716702476,17.710219958040398,17.71624650002923,18.46311129204696,up,1,0.748070125002414,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
7,0,7,up,0,0.8866652509896085,None,3,7,0,7,0,18.47259912500158,,18.463669083022978,18.47259912500158,19.460504250018857,19.466903500026092,20.351300375012215,up,0,0.8866652509896085,None,3,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
8,0,8,up,1,2.697515958978329,None,0,8,0,8,0,20.36090420803521,,20.351809000014327,20.36090420803521,21.350747500022408,21.350747500022408,24.05159279203508,up,1,2.697515958978329,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
9,0,9,up,1,0.7635186680126935,None,0,9,0,9,0,24.077318750030827,,24.052030958002433,24.077318750030827,25.05170137505047,25.065637417021208,25.817749250039924,up,1,0.7635186680126935,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
10,0,10,up,1,0.5319356260006316,None,0,10,0,10,0,25.827142833033577,,25.818244500027504,25.827142833033577,26.810540375008713,26.816419458016753,27.34666575002484,up,1,0.5319356260006316,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
11,0,11,up,1,0.49218845897121355,None,0,11,0,11,0,27.35649833304342,,27.347401208011433,27.35649833304342,28.344018542033155,28.35026216704864,28.846159417007584,up,1,0.49218845897121355,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
12,0,12,up,0,1.2221452919766307,None,3,12,0,12,0,28.85563500004355,,28.846815667056944,28.85563500004355,29.84406008303631,29.85036529204808,31.068005875044037,up,0,1.2221452919766307,None,3,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
13,0,13,down,0,0.7294770840089768,None,0,13,0,13,0,31.07697791705141,,31.068440708040725,31.07697791705141,32.060770542011596,32.06709275004687,32.7963762920117,down,0,0.7294770840089768,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
14,0,14,down,1,0.5928636669996195,None,-5,14,0,14,0,32.8062718330184,,32.797027500055265,32.8062718330184,33.79433558305027,33.800357833039016,34.3960780420457,down,1,0.5928636669996195,None,-5,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
15,0,15,up,0,1.2871648339787498,None,4,15,0,15,0,34.40540462505305,,34.396603125031106,34.40540462505305,35.39431008300744,35.40015629201662,36.686120333033614,up,0,1.2871648339787498,None,4,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
16,0,16,down,1,0.9067888340214267,None,-4,16,0,16,0,36.69678633305011,,36.686721083009616,36.69678633305011,37.68467462505214,37.69432854204206,38.596823708037846,down,1,0.9067888340214267,None,-4,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
17,0,17,up,0,1.0918945430312306,None,4,17,0,17,0,38.60646116704447,,38.5974110000534,38.60646116704447,39.59434600005625,39.60037275002105,40.69711437501246,up,0,1.0918945430312306,None,4,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
18,0,18,up,1,0.5488637509988621,None,0,18,0,18,0,40.70687029202236,,40.6978656250285,40.70687029202236,41.69441579200793,41.700830000045244,42.24606091703754,up,1,0.5488637509988621,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
19,0,19,up,1,0.5358716680202633,None,0,19,0,19,0,42.26066058303695,,42.24650104204193,42.26066058303695,43.244496583007276,43.250350292015355,43.78604333300609,up,1,0.5358716680202633,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
20,0,20,down,1,0.6420960839604959,None,-3,20,0,20,0,43.796461792022455,,43.78663112502545,43.796461792022455,44.785471542039886,44.794520542025566,45.43056091701146,down,1,0.6420960839604959,None,-3,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
21,0,21,down,0,0.6166597919655032,None,0,21,0,21,0,45.44053787505254,,45.43129845801741,45.44053787505254,46.42782070802059,46.43374233302893,47.046429292007815,down,0,0.6166597919655032,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
22,0,22,up,0,0.8677642510156147,None,4,22,0,22,0,47.0569129170035,,47.047062917030416,47.0569129170035,48.04458158300258,48.05059454200091,48.91888104204554,up,0,0.8677642510156147,None,4,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
23,0,23,down,1,0.9634907090221532,None,-2,23,0,23,0,48.93031237501418,,48.91969779203646,48.93031237501418,49.919101000006776,49.92778166703647,50.88609850005014,down,1,0.9634907090221532,None,-2,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
24,0,24,up,0,0.7911438340088353,None,1,24,0,24,0,50.89688737504184,,50.8865944580175,50.89688737504184,51.88549854204757,51.89455404202454,52.68062566703884,up,0,0.7911438340088353,None,1,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
25,0,25,up,1,0.6070790420053527,None,0,25,0,25,0,52.690890500030946,,52.681366833043285,52.690890500030946,53.678317333047744,53.683887500024866,54.2968617080478,up,1,0.6070790420053527,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
26,0,26,down,1,0.7138836670201272,None,-3,26,0,26,0,54.30723066703649,,54.29751291702269,54.30723066703649,55.29484858305659,55.30073516705306,56.01357595802983,down,1,0.7138836670201272,None,-3,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
27,0,27,down,1,0.9191830420168117,None,-5,27,0,27,0,56.02426129201194,,56.014336250023916,56.02426129201194,57.01135583303403,57.01738670800114,57.935897333023604,down,1,0.9191830420168117,None,-5,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
28,0,28,up,1,0.6804230010020547,None,0,28,0,28,0,57.94504829205107,,57.93638720799936,57.94504829205107,58.93523387500318,58.93523387500318,59.619899167038966,up,1,0.6804230010020547,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
29,0,29,up,1,0.6479240420158021,None,0,29,0,29,0,59.631013292004354,,59.620387792005204,59.631013292004354,60.61855966702569,60.62823183304863,61.26960366702406,up,1,0.6479240420158021,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
30,0,30,up,1,0.8788160010008141,None,0,30,0,30,0,61.294877792010084,,61.270152167009655,61.294877792010084,62.2687563750078,62.283509833039716,63.15375162503915,up,1,0.8788160010008141,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
31,0,31,up,1,0.5503539179917425,None,0,31,0,31,0,63.16389550000895,,63.154349208052736,63.16389550000895,64.15318862500135,64.16177466703812,64.71353241702309,up,1,0.5503539179917425,None,0,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
32,0,32,down,1,0.49969591695116833,None,-5,32,0,32,0,64.72344220802188,,64.7140928330482,64.72344220802188,65.71188233303837,65.71802066703094,66.21367620804813,down,1,0.49969591695116833,None,-5,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
33,0,33,down,1,0.724700668011792,None,1,33,0,33,0,66.22327420802321,,66.21432295802515,66.22327420802321,67.2118303750176,67.21782029204769,67.94721708301222,down,1,0.724700668011792,None,1,01,001,2025-09-05_23h35.59.030,orient_discrimination,,2025.1.1,None,2025-09-05 23h36.06.248809 +0530,
