word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.010833959007868543,0.027413375006290153,1.0100437499932013,,,,,,,,,,,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
BLUE,blue,C,b,0,0,0,b,1,0.7458844989887439,None,0,0,0,3,1.0419816669891588,,,,,1.0327457090024836,1.0419816669891588,1.502046709007118,1.502046709007118,1.502046709007118,2.457352458994137,b,1,0.7458844989887439,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
BLUE,red,I,r,1,1,0,r,1,1.0072685409977566,None,0,1,1,2,2.4674079999967944,,,,,2.4577980839821976,2.4674079999967944,2.95084833400324,2.95084833400324,2.95084833400324,3.9620340839901473,r,1,1.0072685409977566,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
RED,red,C,r,2,2,0,r,1,0.5734022080141585,None,0,2,2,0,3.977297292003641,,,,,3.968587999988813,3.977297292003641,4.45963812500122,4.45963812500122,4.45963812500122,5.045043416990666,r,1,0.5734022080141585,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
RED,blue,I,b,3,3,0,b,1,0.5057432499888819,None,0,3,3,1,5.064536333986325,,,,,5.046116708981572,5.064536333986325,5.54335233400343,5.54335233400343,5.54335233400343,6.051001084008021,b,1,0.5057432499888819,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
BLUE,red,I,r,4,0,1,r,1,0.811326332972385,None,1,0,4,2,6.064250833995175,,,,,6.056189458991867,6.064250833995175,6.55166291698697,6.55166291698697,6.55166291698697,7.367865374981193,r,1,0.811326332972385,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
RED,red,C,r,5,1,1,r,1,0.3947413330024574,None,1,1,5,0,7.381091999995988,,,,,7.3723951669817325,7.381091999995988,7.869293666997692,7.869293666997692,7.869293666997692,8.26718749999418,r,1,0.3947413330024574,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
RED,blue,I,b,6,2,1,b,1,0.4466049170005135,None,1,2,6,1,8.276725083997007,,,,,8.26848808399518,8.276725083997007,8.767422250006348,8.767422250006348,8.767422250006348,9.217498499987414,b,1,0.4466049170005135,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.377041708008619,None,1,3,7,3,9.231085334002273,,,,,9.221841999999015,9.231085334002273,9.718020250002155,9.718020250002155,9.718020250002155,10.100986083998578,b,1,0.377041708008619,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
RED,blue,I,b,8,0,2,b,1,0.7357714580139145,None,2,0,8,1,10.114966458990239,,,,,10.10498070900212,10.114966458990239,10.602443709009094,10.602443709009094,10.602443709009094,11.345328499999596,b,1,0.7357714580139145,None,,,,01,001,2025-08-26_09h54.59.527,stroop_task,,2025.1.1,None,2025-08-26 09h55.07.342727 +0530,
