word,category,inkColour,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instrText.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,Welcome.started,text_2.started,text_2.stopped,Welcome.stopped,ColourNaming.started,fixation.started,fixation.stopped,text.started,key_resp.started,ColourNaming.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.010135667005670257,0.03123091701127123,0.03123091701127123,15.25723212500452,space,14.980527625011746,None,,,,,,,,,,,,,,,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,15.257290417008335,15.271690667010262,16.30315462499857,16.25498762499774,,,,,,,,,,,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
They,other,blue,b,0,0,0,b,1,0.7037072079983773,None,0,0,0,16,16.30315462499857,,,,,,,,,,,,,16.293825208005728,16.30315462499857,16.758551000006264,16.758551000006264,16.758551000006264,17.467044917008025,b,1,0.7037072079983773,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
I,self ,yellow,y,1,1,0,y,1,0.6515257080027368,None,0,1,1,9,17.481023958011065,,,,,,,,,,,,,17.47224412500509,17.481023958011065,17.969645792007213,17.969645792007213,17.969645792007213,18.631731083005434,y,1,0.6515257080027368,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
Myself,self ,yellow,y,2,2,0,y,1,0.6420301239995752,None,0,2,2,5,18.64208316701115,,,,,,,,,,,,,18.636725583011867,18.64208316701115,19.122360082998057,19.122360082998057,19.122360082998057,19.767437458009226,y,1,0.6420301239995752,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
Her,other,blue,b,3,3,0,b,1,0.5260760410019429,None,0,3,3,30,19.781872999999905,,,,,,,,,,,,,19.77366137500212,19.781872999999905,20.265072542009875,20.265072542009875,20.265072542009875,20.800658167005167,b,1,0.5260760410019429,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
Door,neutral,blue,b,4,4,0,b,1,0.33571270799438935,None,0,4,4,46,20.8145475420024,,,,,,,,,,,,,20.80665029201191,20.8145475420024,21.298488708009245,21.298488708009245,21.298488708009245,21.63923000000068,b,1,0.33571270799438935,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
Stranger,other,blue,b,5,5,0,b,1,0.34623316599754617,None,0,5,5,22,21.65462045800814,,,,,,,,,,,,,21.645563875004882,21.65462045800814,22.139805042010266,22.139805042010266,22.139805042010266,22.489053666999098,b,1,0.34623316599754617,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
Bottle,neutral,blue,b,6,6,0,b,1,0.3480170410039136,None,0,6,6,38,22.504136042000027,,,,,,,,,,,,,22.49336254200898,22.504136042000027,22.989231625004322,22.989231625004322,22.989231625004322,23.339268292009365,b,1,0.3480170410039136,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
Personal,self ,yellow,y,7,7,0,y,1,0.37369375000707805,None,0,7,7,13,23.352728708006907,,,,,,,,,,,,,23.34420079200936,23.352728708006907,23.839728083010414,23.839728083010414,23.839728083010414,24.21736841701204,y,1,0.37369375000707805,None,,,,,02,001,2025-11-13_21h31.01.565,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-13 21h31.12.931159 +0530,
