word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.01095950001035817,0.019113624992314726,1.0103642079920974,,,,,,,,,,,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
BLUE,blue,C,b,0,0,0,b,1,1.0688838330097497,None,0,0,0,3,1.0412744999921415,,,,,1.0319151250005234,1.0412744999921415,1.5019561660010368,1.5019561660010368,1.5019561660010368,2.790188457991462,b,1,1.0688838330097497,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
BLUE,red,I,r,1,1,0,r,1,1.6938583330193069,None,0,1,1,2,2.7992089159961324,,,,,2.7906302910123486,2.7992089159961324,3.285891540988814,3.285891540988814,3.285891540988814,4.984108000004198,r,1,1.6938583330193069,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
RED,red,C,r,2,2,0,r,1,0.4932372490002308,None,0,2,2,0,4.998635625001043,,,,,4.991013249993557,4.998635625001043,5.486534208001103,5.486534208001103,5.486534208001103,5.983828875003383,r,1,0.4932372490002308,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
RED,blue,I,b,3,3,0,b,1,0.5510788749961648,None,0,3,3,1,6.003281749988673,,,,,5.9847218329960015,6.003281749988673,6.484794457996031,6.484794457996031,6.484794457996031,7.045292416005395,b,1,0.5510788749961648,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
BLUE,blue,C,b,4,0,1,b,1,0.3763825829955749,None,1,0,4,3,7.058171540993499,,,,,7.049960750009632,7.058171540993499,7.543606040999293,7.543606040999293,7.543606040999293,7.92886879100115,b,1,0.3763825829955749,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
BLUE,red,I,r,5,1,1,r,1,0.47401612499379553,None,1,1,5,2,7.9390787910087965,,,,,7.93001287500374,7.9390787910087965,8.426795832987409,8.426795832987409,8.426795832987409,8.912042624986498,r,1,0.47401612499379553,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
RED,blue,I,b,6,2,1,b,1,0.3780475829844363,None,1,2,6,1,8.924171040998772,,,,,8.91644745800295,8.924171040998772,9.410011333005968,9.410011333005968,9.410011333005968,9.795574624993606,b,1,0.3780475829844363,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
RED,red,C,r,7,3,1,r,1,0.48950404100469314,None,1,3,7,0,9.80521266598953,,,,,9.796577416011132,9.80521266598953,10.293487832997926,10.293487832997926,10.293487832997926,10.795437499997206,r,1,0.48950404100469314,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
RED,blue,I,b,8,0,2,b,1,0.32649283300270326,None,2,0,8,1,10.805394708004314,,,,,10.796562333009206,10.805394708004314,11.29349074998754,11.29349074998754,11.29349074998754,11.628771707997657,b,1,0.32649283300270326,None,,,,,03,001,2025-08-26_09h50.48.393,stroop_task,,2025.1.1,None,2025-08-26 09h51.04.079261 +0530,
