word,category,inkColour,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instrText.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,Welcome.started,text_2.started,Welcome.stopped,ColourNaming.started,fixation.started,fixation.stopped,text.started,key_resp.started,ColourNaming.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.013373333000345156,0.03886912499729078,0.03886912499729078,12.886738749992219,space,12.507251749993884,None,,,,,,,,,,,,,,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,12.886783333000494,12.903781957997126,13.889076874998864,,,,,,,,,,,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
Wall,neutral,yellow,y,0,0,0,y,1,0.5502745830017375,None,0,0,0,45,13.944594207991031,,,,,,,,,,,,13.935897082992597,13.944594207991031,14.380953207990387,14.380953207990387,14.380953207990387,14.940400457999203,y,1,0.5502745830017375,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
My,self ,blue,b,1,1,0,b,1,0.5259036660136189,None,0,1,1,10,14.958403582990286,,,,,,,,,,,,14.948086666991003,14.958403582990286,15.443575457989937,15.443575457989937,15.443575457989937,15.973764499998651,b,1,0.5259036660136189,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
Book,neutral,blue,b,2,2,0,b,1,0.6121719160000794,None,0,2,2,42,15.9875751669897,,,,,,,,,,,,15.978341791997082,15.9875751669897,16.472196999995504,16.472196999995504,16.472196999995504,17.09043766699324,b,1,0.6121719160000794,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
Window,neutral,blue,b,3,3,0,b,1,0.4587899159960216,None,0,3,3,40,17.11877629198716,,,,,,,,,,,,17.096283999999287,17.11877629198716,17.588566874997923,17.588566874997923,17.588566874997923,18.057210832994315,b,1,0.4587899159960216,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
Book,neutral,blue,b,4,4,1,b,1,0.31887358300446067,None,1,4,4,42,18.071364167000866,,,,,,,,,,,,18.061976082986803,18.071364167000866,18.555432249995647,18.555432249995647,18.555432249995647,18.87987379200058,b,1,0.31887358300446067,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
Door,neutral,yellow,y,5,5,0,y,1,0.4582318329921691,None,0,5,5,47,18.89545124999131,,,,,,,,,,,,18.88662687499891,18.89545124999131,19.381105707987444,19.381105707987444,19.381105707987444,19.846663791991887,y,1,0.4582318329921691,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
Chair,neutral,blue,b,6,6,0,b,1,0.44941883299907204,None,0,6,6,32,19.861036457994487,,,,,,,,,,,,19.851637082989328,19.861036457994487,20.347829791993718,20.347829791993718,20.347829791993718,20.807194916997105,b,1,0.44941883299907204,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
She,other,blue,b,7,7,0,y,0,0.39915970800211653,None,0,7,7,26,20.821678207998048,,,,,,,,,,,,20.812278291996336,20.821678207998048,21.305199082999025,21.305199082999025,21.305199082999025,21.70754695798678,y,0,0.39915970800211653,None,,,,,04,001,2025-11-14_10h36.46.396,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 10h37.35.454583 +0530,
