Study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Case,0,0,0,2.031111111111111,2.226939749903977,,,,,,,,,,,,0,0,0,10,,,,,0.07162654120475054,,0.04651200002990663,0.07162654120475054,0.07162654120475054,2.2867619160097092,2.031111111111111,2.226939749903977,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
Pastry,1,1,0,2.031111111111111,0.5847084168344736,,,,,,,,,,,,0,1,1,9,,,,,2.300041750073433,,2.2909677911084145,2.300041750073433,2.300041750073433,2.8861762080341578,2.031111111111111,0.5847084168344736,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
phone,2,2,0,2.031111111111111,0.5526717498432845,,,,,,,,,,,,0,2,2,2,,,,,2.8992834580130875,,2.890704750083387,2.8992834580130875,2.8992834580130875,3.453224750002846,2.031111111111111,0.5526717498432845,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
Police,3,3,0,2.031111111111111,0.5704908750485629,,,,,,,,,,,,0,3,3,12,,,,,3.463872875086963,,3.4554423331283033,3.463872875086963,3.463872875086963,4.0366733751725405,2.031111111111111,0.5704908750485629,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
Laptop,4,4,0,2.031111111111111,0.5506648749578744,,,,,,,,,,,,0,4,4,5,,,,,4.047946666134521,,4.0397103750146925,4.047946666134521,4.047946666134521,4.603954083053395,2.031111111111111,0.5506648749578744,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
mouse,5,5,0,2.942222222222222,1.3576862500049174,,,,,,,,,,,,0,5,5,8,,,,,4.614754791138694,,4.606135958107188,4.614754791138694,4.614754791138694,5.973107166122645,2.942222222222222,1.3576862500049174,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
Poster,6,6,0,1.991111111111111,1.8156709170434624,,,,,,,,,,,,0,6,6,14,,,,,5.98625445808284,,5.975360583048314,5.98625445808284,5.98625445808284,7.804048666032031,1.991111111111111,1.8156709170434624,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
book,7,7,0,1.991111111111111,0.6086161250714213,,,,,,,,,,,,0,7,7,0,,,,,7.815516916103661,,7.806103833019733,7.815516916103661,7.815516916103661,8.424470625119284,1.991111111111111,0.6086161250714213,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
Chart,8,8,0,1.991111111111111,0.478009708924219,,,,,,,,,,,,0,8,8,6,,,,,8.436515125213191,,8.426706333179027,8.436515125213191,8.436515125213191,8.91422616620548,1.991111111111111,0.478009708924219,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
board,9,9,0,1.991111111111111,0.5565632919315249,,,,,,,,,,,,0,9,9,4,,,,,8.927150208037347,,8.917648125207052,8.927150208037347,8.927150208037347,9.487333583179861,1.991111111111111,0.5565632919315249,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
Keys,10,10,0,1.991111111111111,0.6976872500963509,,,,,,,,,,,,0,10,10,13,,,,,9.499045541044325,,9.490208958042786,9.499045541044325,9.499045541044325,10.196275416063145,1.991111111111111,0.6976872500963509,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
cushion,11,11,0,1.991111111111111,0.8920966668520123,,,,,,,,,,,,0,11,11,1,,,,,10.207518333103508,,10.198867625091225,10.207518333103508,10.207518333103508,11.103924500057474,1.991111111111111,0.8920966668520123,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
marble,12,12,0,2.8088888888888888,1.5246095419861376,,,,,,,,,,,,0,12,12,3,,,,,11.115491208154708,,11.1061522080563,11.115491208154708,11.115491208154708,12.640173749998212,2.8088888888888888,1.5246095419861376,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
Cruise,13,13,0,2.991111111111111,1.2813863751944155,,,,,,,,,,,,0,13,13,11,,,,,12.653267875080928,,12.642558708088472,12.653267875080928,12.653267875080928,13.937207500217482,2.991111111111111,1.2813863751944155,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
T-shirt,14,14,0,2.013333333333333,0.6006029578857124,,,,,,,,,,,,0,14,14,7,,,,,13.950085333082825,,13.940842625219375,13.950085333082825,13.950085333082825,14.554020375013351,2.013333333333333,0.6006029578857124,,,,,,,,,,,,,,,04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,0,0,0,,,_ho_e,Phone,old,phone,[np.float64(-0.02666666666666667)],[np.float64(-0.29333333333333333)],[1],[0],[0],[3.717912415973842],['submit_text'],,,,,0,0,0,12,14.573900000192225,,,,,,,,14.560829125111923,14.573900000192225,14.573900000192225,14.573900000192225,0.006805334007367492,18.278919916134328,phone,[np.float64(-0.02666666666666667)],[np.float64(-0.29333333333333333)],[1],[0],[0],[3.717912415973842],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,1,1,0,,,c_s_io_,Cushion,old,cushion,[np.float64(0.04666666666666667)],[np.float64(-0.29444444444444445)],[1],[0],[0],[2.815019333967939],['submit_text'],,,,,0,1,1,14,18.29147904110141,,,,,,,,18.281175250187516,18.29147904110141,18.29147904110141,18.29147904110141,0.002116417046636343,21.096365416189656,cushion,[np.float64(0.04666666666666667)],[np.float64(-0.29444444444444445)],[1],[0],[0],[2.815019333967939],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,2,2,0,,,c_m_ra,Camera,new,camera,[np.float64(0.08222222222222222)],[np.float64(-0.29555555555555557)],[1],[0],[0],[3.0801012499723583],['submit_text'],,,,,0,2,2,19,21.10764579102397,,,,,,,,21.09834145801142,21.10764579102397,21.10764579102397,21.10764579102397,0.0018754580523818731,24.17862479109317,camera,[np.float64(0.08222222222222222)],[np.float64(-0.29555555555555557)],[1],[0],[0],[3.0801012499723583],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,3,3,0,,,v_s_,Vase,new,vase,[np.float64(0.023333333333333334)],[np.float64(-0.3211111111111111)],[1],[0],[0],[2.813559832982719],['submit_text'],,,,,0,3,3,17,24.191526708193123,,,,,,,,24.18153795809485,24.191526708193123,24.191526708193123,24.191526708193123,0.0028067079838365316,26.995282458141446,vase,[np.float64(0.023333333333333334)],[np.float64(-0.3211111111111111)],[1],[0],[0],[2.813559832982719],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,4,4,0,,,ta_l_,Table,new,table,[np.float64(-0.0044444444444444444)],[np.float64(-0.3)],[1],[0],[0],[2.241702792001888],['submit_text'],,,,,0,4,4,15,27.00699062505737,,,,,,,,26.997314291074872,27.00699062505737,27.00699062505737,27.00699062505737,0.0019359581638127565,29.239253958221525,table,[np.float64(-0.0044444444444444444)],[np.float64(-0.3)],[1],[0],[0],[2.241702792001888],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,5,5,0,,,bo_t_e,Bottle,new,bottle,[np.float64(0.11888888888888889)],[np.float64(-0.32)],[1],[0],[0],[2.636041290825233],['submit_text'],,,,,0,5,5,18,29.270548083120957,,,,,,,,29.243020916124806,29.270548083120957,29.270548083120957,29.270548083120957,0.003592166816815734,31.879301916109398,bottle,[np.float64(0.11888888888888889)],[np.float64(-0.32)],[1],[0],[0],[2.636041290825233],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,6,6,0,,,K_y_,Keys,old,Keys,[np.float64(0.057777777777777775)],[np.float64(-0.28444444444444444)],[1],[0],[0],[2.2739457921124995],['submit_text'],,,,,0,6,6,8,31.891558333067223,,,,,,,,31.881247875047848,31.891558333067223,31.891558333067223,31.891558333067223,0.0018377078231424093,34.155398291070014,Keys,[np.float64(0.057777777777777775)],[np.float64(-0.28444444444444444)],[1],[0],[0],[2.2739457921124995],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,7,7,0,,,P_as_tr_,Pastry,old,Pastry,[np.float64(0.08222222222222222)],[np.float64(-0.2777777777777778)],[1],[0],[0],[3.8996873749420047],['submit_text'],,,,,0,7,7,4,34.1707252911292,,,,,,,,34.15826804121025,34.1707252911292,34.1707252911292,34.1707252911292,0.0027407919988036156,38.05821016617119,Pastry,[np.float64(0.08222222222222222)],[np.float64(-0.2777777777777778)],[1],[0],[0],[3.8996873749420047],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,8,8,0,,,T_hi_t,Tshirt,old,Tshirt,[np.float64(0.02)],[np.float64(-0.30666666666666664)],[1],[0],[0],[2.570265166927129],['submit_text'],,,,,0,8,8,2,38.072734291199595,,,,,,,,38.06090600020252,38.072734291199595,38.072734291199595,38.072734291199595,0.0025174580514431,40.631401375168934,Tshirt,[np.float64(0.02)],[np.float64(-0.30666666666666664)],[1],[0],[0],[2.570265166927129],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,9,9,0,,,_a_bl_,Marble,old,cable,[np.float64(0.10555555555555556)],[np.float64(-0.28)],[1],[0],[0],[5.561881582951173],['submit_text'],,,,,0,9,9,11,40.643620875198394,,,,,,,,40.634037875104696,40.643620875198394,40.643620875198394,40.643620875198394,0.0025289999321103096,46.19612916605547,cable,[np.float64(0.10555555555555556)],[np.float64(-0.28)],[1],[0],[0],[5.561881582951173],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,10,10,0,,,l_pt_p,Laptop,old,laptop,[np.float64(0.08777777777777777)],[np.float64(-0.29555555555555557)],[1],[0],[0],[2.7815072499215603],['submit_text'],,,,,0,10,10,0,46.20910087507218,,,,,,,,46.19810462510213,46.20910087507218,46.20910087507218,46.20910087507218,0.0018702908419072628,48.979811708210036,laptop,[np.float64(0.08777777777777777)],[np.float64(-0.29555555555555557)],[1],[0],[0],[2.7815072499215603],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,11,11,0,,,_ru_is_,Cruise,old,cruise,[np.float64(0.08777777777777777)],[np.float64(-0.28888888888888886)],[1],[0],[0],[2.4977115420624614],['submit_text'],,,,,0,11,11,6,48.991636333055794,,,,,,,,48.98182850005105,48.991636333055794,48.991636333055794,48.991636333055794,0.0019230421166867018,51.47975758300163,cruise,[np.float64(0.08777777777777777)],[np.float64(-0.28888888888888886)],[1],[0],[0],[2.4977115420624614],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,12,12,0,,,_o_rd,Board,old,coord,[np.float64(0.051111111111111114)],[np.float64(-0.3055555555555556)],[1],[0],[0],[7.05903391703032],['submit_text'],,,,,0,12,12,10,51.49260925012641,,,,,,,,51.48215883318335,51.49260925012641,51.49260925012641,51.49260925012641,0.0022678750101476908,58.5414134580642,coord,[np.float64(0.051111111111111114)],[np.float64(-0.3055555555555556)],[1],[0],[0],[7.05903391703032],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,13,13,0,,,c_s_,Case,old,case,[np.float64(0.12222222222222222)],[np.float64(-0.2833333333333333)],[1],[0],[0],[2.2196829160675406],['submit_text'],,,,,0,13,13,5,58.554161875043064,,,,,,,,58.54344975017011,58.554161875043064,58.554161875043064,58.554161875043064,0.0019235420040786266,60.763356708223,case,[np.float64(0.12222222222222222)],[np.float64(-0.2833333333333333)],[1],[0],[0],[2.2196829160675406],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,14,14,0,,,_ha_t,Chart,old,chart,[np.float64(0.08777777777777777)],[np.float64(-0.2911111111111111)],[1],[0],[0],[2.4982193340547383],['submit_text'],,,,,0,14,14,1,60.77557091601193,,,,,,,,60.76544562517665,60.77557091601193,60.77557091601193,60.77557091601193,0.001976375002413988,63.26388333318755,chart,[np.float64(0.08777777777777777)],[np.float64(-0.2911111111111111)],[1],[0],[0],[2.4982193340547383],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,15,15,0,,,_oo_,Book,old,book,[np.float64(0.05555555555555555)],[np.float64(-0.3244444444444444)],[1],[0],[0],[1.9982925842050463],['submit_text'],,,,,0,15,15,13,63.27669958304614,,,,,,,,63.265649458160624,63.27669958304614,63.27669958304614,63.27669958304614,0.0016710420604795218,65.26416566618718,book,[np.float64(0.05555555555555555)],[np.float64(-0.3244444444444444)],[1],[0],[0],[1.9982925842050463],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,16,16,0,,,_ou_se,Mouse,old,mouse,[np.float64(0.12111111111111111)],[np.float64(-0.3055555555555556)],[1],[0],[0],[2.0813917089253664],['submit_text'],,,,,0,16,16,3,65.27620954113081,,,,,,,,65.26630995818414,65.27620954113081,65.27620954113081,65.27620954113081,0.00204754201695323,67.34793516620994,mouse,[np.float64(0.12111111111111111)],[np.float64(-0.3055555555555556)],[1],[0],[0],[2.0813917089253664],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
,17,17,0,,,P_st_r,Poster,old,Poster,[np.float64(0.13111111111111112)],[np.float64(-0.29)],[1],[0],[0],[5.533915667096153],['submit_text'],,,,,0,17,17,9,67.36013983306475,,,,,,,,67.35013116616756,67.36013983306475,67.36013983306475,67.36013983306475,0.0020920000970363617,72.88434866606258,Poster,[np.float64(0.13111111111111112)],[np.float64(-0.29)],[1],[0],[0],[5.533915667096153],['submit_text'],04,001,2025-10-14_18h02.37.608,Word priming experiment,,2025.1.1,117.17079412320619,2025-10-14 18h02.59.077814 +0530,
