pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.0895687090232968,None,,,,,0,0,0,0,,,,,0.04802220920100808,,0.039952709106728435,0.04802220920100808,1.0104652920272201,1.0104652920272201,1.0104652920272201,1.0104652920272201,1.0385493750218302,1.9924497501924634,1.9924497501924634,3.3208784591406584,x,1,1.0895687090232968,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
150,v,1,1,0,v,1,0.5696479170583189,None,,,,,0,1,1,1,,,,,3.3357260420452803,,3.3211573341395706,3.3357260420452803,4.316161209018901,4.316161209018901,4.316161209018901,4.316161209018901,4.332923459121957,5.316301041981205,5.316301041981205,5.890493292128667,v,1,0.5696479170583189,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
50,c,2,2,0,c,1,0.6273307499941438,None,,,,,0,2,2,2,,,,,5.8994399171788245,,5.891026167199016,5.8994399171788245,6.890954959206283,6.890954959206283,6.890954959206283,6.890954959206283,6.890954959206283,7.890745875192806,7.890745875192806,8.524003542028368,c,1,0.6273307499941438,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,3,3,0,z,1,0.9120414578355849,None,,,,,0,3,3,3,,,,,8.53263087500818,,8.524537125136703,8.53263087500818,9.52363304211758,9.52363304211758,9.52363304211758,9.52363304211758,9.52363304211758,10.524019333999604,10.524019333999604,11.441536750178784,z,1,0.9120414578355849,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-50,x,4,0,1,x,1,1.20029466599226,None,,,,,1,0,4,0,,,,,11.466942167142406,,11.442106542177498,11.466942167142406,12.441408917075023,12.441408917075023,12.441408917075023,12.441408917075023,12.455672624986619,13.439851375063881,13.439851375063881,14.651479959022254,x,1,1.20029466599226,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
150,v,5,1,1,v,1,0.5521863750182092,None,,,,,1,1,5,1,,,,,14.660448042210191,,14.652017209213227,14.660448042210191,15.64993575005792,15.64993575005792,15.64993575005792,15.64993575005792,15.657497542211786,16.649936042027548,16.649936042027548,17.208525834139436,v,1,0.5521863750182092,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
50,c,6,2,1,c,1,0.4799669168423861,None,,,,,1,2,6,2,,,,,17.217261292040348,,17.208935875212774,17.217261292040348,18.208216333994642,18.208216333994642,18.208216333994642,18.208216333994642,18.208216333994642,19.207214584108442,19.207214584108442,19.691422584000975,c,1,0.4799669168423861,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,7,3,1,z,1,0.45795766706578434,None,,,,,1,3,7,3,,,,,19.700302000157535,,19.691973000066355,19.700302000157535,20.69151350017637,20.69151350017637,20.69151350017637,20.69151350017637,20.69151350017637,21.69122008420527,21.69122008420527,22.152072959113866,z,1,0.45795766706578434,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-50,x,8,0,2,x,1,0.9392139168921858,None,,,,,2,0,8,0,,,,,22.16243754210882,,22.152743959100917,22.16243754210882,23.150093417149037,23.150093417149037,23.150093417149037,23.150093417149037,23.156667459057644,24.150201459182426,24.150201459182426,25.09098537499085,x,1,0.9392139168921858,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
150,v,9,1,2,v,1,0.6517997500486672,None,,,,,2,1,9,1,,,,,25.099547292105854,,25.09150908398442,25.099547292105854,26.090165250003338,26.090165250003338,26.090165250003338,26.090165250003338,26.090165250003338,27.083349417196587,27.083349417196587,27.741419458994642,v,1,0.6517997500486672,None,,,,,,,,,,,,,,,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
