thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.06)],[np.float64(-0.2011111111111111)],[1],[0],[0],[2.048021625028923],['target'],0,0,0,0,0.028158500092104077,,5,0.015990292187780142,0.028158500092104077,0.028158500092104077,0.015999958151951432,2.064135459018871,[np.float64(0.06)],[np.float64(-0.2011111111111111)],[1],[0],[0],[2.048021625028923],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
1,0,1,[np.float64(0.47555555555555556)],[np.float64(0.24222222222222223)],[1],[0],[0],[2.1187611669301987],['target'],1,0,1,0,2.0810719169676304,,5,2.073386291973293,2.0810719169676304,2.0810719169676304,0.009105541044846177,4.192255959147587,[np.float64(0.47555555555555556)],[np.float64(0.24222222222222223)],[1],[0],[0],[2.1187611669301987],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
2,0,2,[np.float64(0.49)],[np.float64(-0.058888888888888886)],[1],[0],[0],[1.2069159580860287],['target'],2,0,2,0,4.208584208972752,,5,4.2012269999831915,4.208584208972752,4.208584208972752,0.008870207937434316,5.4082468340639025,[np.float64(0.49)],[np.float64(-0.058888888888888886)],[1],[0],[0],[1.2069159580860287],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
3,0,3,[np.float64(0.07555555555555556)],[np.float64(-0.4222222222222222)],[1],[0],[0],[1.0650193328037858],['target'],3,0,3,0,5.435034916969016,,10,5.424922875128686,5.435034916969016,5.435034916969016,0.016585333039984107,6.4900464590173215,[np.float64(0.07555555555555556)],[np.float64(-0.4222222222222222)],[1],[0],[0],[1.0650193328037858],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
4,0,4,[np.float64(-0.07333333333333333)],[np.float64(-0.4088888888888889)],[1],[0],[0],[0.9542877501808107],['target'],4,0,4,0,6.516430875053629,,10,6.506075500044972,6.516430875053629,6.516430875053629,0.015919000143185258,7.4604714589659125,[np.float64(-0.07333333333333333)],[np.float64(-0.4088888888888889)],[1],[0],[0],[0.9542877501808107],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
5,0,5,[np.float64(0.4911111111111111)],[np.float64(0.4011111111111111)],[1],[0],[0],[1.2237412501126528],['target'],5,0,5,0,7.476708292029798,,5,7.468937375117093,7.476708292029798,7.476708292029798,0.008353374898433685,8.692786667030305,[np.float64(0.4911111111111111)],[np.float64(0.4011111111111111)],[1],[0],[0],[1.2237412501126528],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
6,0,6,[np.float64(0.19)],[np.float64(0.22444444444444445)],[1],[0],[0],[0.9969415420200676],['target'],6,0,6,0,8.719723584130406,,10,8.709064250113443,8.719723584130406,8.719723584130406,0.016184832900762558,9.706106584053487,[np.float64(0.19)],[np.float64(0.22444444444444445)],[1],[0],[0],[0.9969415420200676],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
7,0,7,[np.float64(-0.13666666666666666)],[np.float64(0.3522222222222222)],[1],[0],[0],[1.3906911669764668],['target'],7,0,7,0,9.72236404218711,,5,9.714789542136714,9.72236404218711,9.72236404218711,0.00857112486846745,11.10557825001888,[np.float64(-0.13666666666666666)],[np.float64(0.3522222222222222)],[1],[0],[0],[1.3906911669764668],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
8,0,8,[np.float64(-0.18444444444444444)],[np.float64(-0.41444444444444445)],[1],[0],[0],[1.304226459003985],['target'],8,0,8,0,11.13288850011304,,10,11.122034500120208,11.13288850011304,11.13288850011304,0.01636429107747972,12.426364167127758,[np.float64(-0.18444444444444444)],[np.float64(-0.41444444444444445)],[1],[0],[0],[1.304226459003985],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
9,0,9,[np.float64(-0.4922222222222222)],[np.float64(0.43)],[1],[0],[0],[1.7463322500698268],['target'],9,0,9,0,12.455064125126228,,10,12.444392250152305,12.455064125126228,12.455064125126228,0.0179129580501467,14.190826750127599,[np.float64(-0.4922222222222222)],[np.float64(0.43)],[1],[0],[0],[1.7463322500698268],['target'],05,001,2025-09-30_15h50.17.058,Visual Search Experiment,,2025.1.1,119.58384882392635,2025-09-30 15h50.23.210031 +0530,
