stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.025375708006322384,,0.01048175001051277,0.025375708006322384,0.5111710830242373,0.5111710830242373,0.5247322500217706,0.8076306250295602,1.2519296670216136,right,10.0,1,1,0.5030551249510609,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
1,2,8.0,1.2946250420063734,,1.2521209580008872,1.2946250420063734,1.74525616702158,1.74525616702158,1.79145633301232,2.0416538330027834,2.22609625000041,right,8.0,1,1,0.4713365420466289,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
2,2,6.0,2.2471727920346893,,2.2264723330154084,2.2471727920346893,2.7247242080047727,2.7247242080047727,2.745161042024847,3.011417542002164,3.2096684999996796,right,6.0,1,1,0.4817964590038173,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
3,2,4.0,3.2167713749804534,,3.2099783750018105,3.2167713749804534,3.7082246250356548,3.7082246250356548,3.7120682920212857,3.9956400829833,4.0926503330119886,right,4.0,1,1,0.37944449996575713,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
4,2,2.0,4.099007499986328,,4.092995457991492,4.099007499986328,4.591604750021361,4.591604750021361,4.5961590420338325,4.878570957982447,5.030518833023962,left,-2.0,1,1,0.43372716702288017,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
5,1,1.0,5.041460249980446,,5.030820292013232,5.041460249980446,5.530536000034772,5.530536000034772,5.530536000034772,5.828968207992148,6.013190958008636,left,-1.0,0,0,0.4778423340176232,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
6,1,2.0,6.024832083028741,,6.013431166997179,6.024832083028741,6.508583458024077,6.508583458024077,6.514136583020445,6.794128916983027,7.026297167001758,right,2.0,1,1,0.5140639169840142,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
7,1,2.0,7.033618166984525,,7.026687457982916,7.033618166984525,7.525046167022083,7.525046167022083,7.529500667005777,7.8130328329862095,7.963217583019286,right,2.0,1,1,0.434214000008069,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
8,1,2.0,7.974950667005032,,7.963458249985706,7.974950667005032,8.458312582981307,8.458312582981307,8.463122166984249,8.745548292004969,8.876618916983716,left,-2.0,1,1,0.4050881669973023,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
9,1,1.0,8.884556874982081,,8.876946499978658,8.884556874982081,9.374892916996032,9.374892916996032,9.379624749999493,9.662850041990168,9.90969329199288,right,1.0,1,1,0.5286302919848822,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
10,0.5,1.0,9.918130125035532,,9.909989207983017,9.918130125035532,10.425048333010636,10.425048333010636,10.425048333010636,10.712664082995616,18.793729124998208,left,-1.0,0,0,8.35475704196142,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
11,0.5,1.5,18.801718250033446,,18.794235666980967,18.801718250033446,19.29205400001956,19.29205400001956,19.296553416992538,19.579707083001267,19.659955292008817,left,-1.5,1,1,0.36228545900667086,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
12,0.5,1.5,19.667177750030532,,19.66020899999421,19.667177750030532,20.158258292009123,20.158258292009123,20.16232033300912,20.446028499980457,20.74276487500174,left,-1.5,0,0,0.5785901250201277,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
13,0.5,2.0,20.748246958013624,,20.743023957998957,20.748246958013624,21.2305705419858,21.2305705419858,21.24805562500842,21.5254298329819,21.611023582983762,right,2.0,1,1,0.3742774589918554,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
14,0.5,2.0,21.616043583024293,,21.61140749999322,21.616043583024293,22.108432332985103,22.108432332985103,22.112926250032615,22.395951832993887,22.56036820798181,left,-2.0,1,1,0.4403983340016566,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
15,0.5,2.0,22.56668566702865,,22.560720667010173,22.56668566702865,23.05879829201149,23.05879829201149,23.0630857499782,23.345747957995627,23.610200708033517,left,-2.0,1,1,0.5492671250249259,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
16,0.5,1.5,23.617733833030798,,23.610600957996212,23.617733833030798,24.108900082996115,24.108900082996115,24.11285700002918,24.396033333032392,24.54355637502158,right,1.5,1,1,0.42936404200736433,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
17,0.5,1.5,24.550423292035703,,24.543882333033253,24.550423292035703,25.042009333032183,25.042009333032183,25.04656920803245,25.329971167026088,25.527222917007748,right,1.5,1,1,0.48111370898550376,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
18,0.5,1.5,25.53191354201408,,25.527513707987964,25.53191354201408,26.025603667018004,26.025603667018004,26.02952316700248,26.314102332980838,26.51071291702101,left,-1.5,1,1,0.47663266700692475,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
19,0.5,1.0,26.517805791983847,,26.511016207979992,26.517805791983847,27.00909262499772,27.00909262499772,27.0135620420333,27.297396417008713,27.54361091699684,left,-1.0,1,1,0.5320504999835975,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
20,0.5,1.0,27.547722792020068,,27.54390929202782,27.547722792020068,28.030695333029144,28.030695333029144,28.042430917033926,28.32583295798395,28.82706291700015,right,1.0,0,0,0.7896793340332806,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
21,0.5,1.5,28.83458233298734,,28.827363374992274,28.83458233298734,29.32579541701125,29.32579541701125,29.330476208007894,29.613302708021365,29.910307999991346,left,-1.5,1,1,0.5711585839744657,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
22,0.5,1.5,29.916971208003815,,29.9106624579872,29.916971208003815,30.409159458009526,30.409159458009526,30.413099500001408,30.696228708024137,30.876960458001122,left,-1.5,1,1,0.46307316701859236,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
23,0.5,1.5,30.88363895798102,,30.877255250001326,30.88363895798102,31.375889917020686,31.375889917020686,31.380543583014514,31.66387620801106,31.843488042009994,right,1.5,1,1,0.464462292031385,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
24,0.5,1.0,31.849971166986506,,31.843785499979276,31.849971166986506,32.33079600002384,32.33079600002384,32.346783542016055,32.62590033299057,32.67698816698976,right,1.0,1,1,0.3417235420201905,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
25,0.5,1.0,32.68418591702357,,32.677269708015956,32.68418591702357,33.17590874998132,33.17590874998132,33.17969187500421,33.46254500001669,33.59398624999449,left,-1.0,0,0,0.41627358400728554,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
26,0.5,1.5,33.601299625006504,,33.59437020798214,33.601299625006504,34.092630750034004,34.092630750034004,34.09654462500475,34.379469125007745,34.56066200003261,left,-1.5,0,0,0.4586086249910295,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
27,0.5,2.0,34.568055999989156,,34.560931125015486,34.568055999989156,35.05938970798161,35.05938970798161,35.06405937502859,35.34693191701081,35.4474656250095,left,-2.0,0,0,0.3837769170058891,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
28,0.5,2.5,35.4593621250242,,35.44771291699726,35.4593621250242,35.94268962502247,35.94268962502247,35.946966250019614,36.23018954199506,36.31539220799459,right,2.5,0,0,0.3703897090163082,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
29,0.5,3.0,36.32604304200504,,36.31563399999868,36.32604304200504,36.8091961669852,36.8091961669852,36.8139193750103,,36.830895583028905,right,3.0,1,1,0.02003179199527949,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
30,0.5,3.0,36.84265570802381,,36.83112208300736,36.84265570802381,37.330809417006094,37.330809417006094,37.330809417006094,37.62607395800296,37.7817523329868,left,-3.0,1,1,0.44739699998172,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
31,0.5,3.0,37.79273020802066,,37.78204762499081,37.79273020802066,38.28054520802107,38.28054520802107,38.28054520802107,38.576382917002775,38.76095545798307,right,3.0,1,1,0.476851292012725,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
32,0.5,2.5,38.76559654198354,,38.761238874983974,38.76559654198354,39.259488124982454,39.259488124982454,39.26429595798254,39.547079125011805,39.73119766701711,left,-2.5,1,1,0.46874962496804073,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
33,0.5,2.5,39.742814957979135,,39.731458458001725,39.742814957979135,40.23102016700432,40.23102016700432,40.23102016700432,40.526260083017405,40.894138999981806,right,2.5,1,1,0.6565158749581315,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
34,0.5,2.5,40.90139479201753,,40.89444629201898,40.90139479201753,41.392884958011564,41.392884958011564,41.39775095798541,41.679955292027444,41.91075370798353,left,-2.5,1,1,0.5165375840151682,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
35,0.5,2.0,41.91702616697876,,41.91102995799156,41.91702616697876,42.4095591250225,42.4095591250225,42.41350304201478,42.6966390000307,42.96448612498352,right,2.0,1,1,0.5516786249936558,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
