reward_today,future_reward,delay
11,30,7
15,35,13
27,50,21
40,55,62
49,60,89
67,75,119
78,80,162
62,81,69
26,44,98
79,90,70
36,50,86
33,53,11
21,32,16
27,51,97
41,82,73
17,31,59
33,59,70
47,67,80
17,31,93
46,93,3
48,89,20
38,50,59
37,62,36
69,87,19
33,51,90
53,78,67
58,88,19
60,71,20
56,89,96
28,44,71
76,91,52
48,91,33
67,76,40
67,91,39
46,80,82
56,84,1
74,93,11
19,32,92
52,80,57
24,36,89
43,50,50
55,68,23
24,47,31
25,33,94
49,89,42
32,43,99
30,38,7
60,82,16
25,31,90
71,89,60
74,100,2
42,73,1
31,37,48
38,76,12
32,64,69
56,65,37
65,79,32
24,33,9
18,31,99
29,35,19
43,83,48
22,33,80
46,83,3
53,92,20
31,47,24
40,73,54
31,63,33
68,91,24
35,43,75
64,77,72
30,44,36
56,91,38
40,69,84
42,82,99
28,53,89
43,55,99
60,89,25
61,70,93
45,58,18
23,44,82
38,74,66
74,94,54
72,100,35
23,38,80
15,30,61
18,37,41
64,92,100
33,40,33
19,37,68
52,64,33
43,64,14
36,62,21
23,34,48
38,70,20
50,57,8
28,36,7
27,41,67
47,63,17
36,62,33
61,77,48
